Project,Experiment,SPNID,Name,First Author,Year,Journal,Title,Authors,ReferencesAndLinks
13,EX3 Sound Col Cong,81,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX3 Sound Col Cong,82,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX3 Sound Col Cong,83,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX3 Sound Col Cong,84,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX3 Sound Col Cong,85,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX4 Direction Col Cong,86,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX4 Direction Col Cong,87,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX4 Direction Col Cong,88,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX4 Direction Col Cong,89,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX4 Direction Col Cong,90,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX5 Distribution Task,91,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX5 Distribution Task,92,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX5 Distribution Task,93,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX5 Distribution Task,94,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX5 Distribution Task,95,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
14,EX1 Disc Reg,96,SPN real things,Makin  ,2020,JoV,The extrastriate symmetry response can be elicited by flowers and landscapes as well as abstract shapes,"Makin, A. D. J., Rampone, G., Karakashevska, E. and Bertamini, M.",10.1167/jov.20.5.11
14,EX1 Disc Reg,97,SPN real things,Makin  ,2020,JoV,The extrastriate symmetry response can be elicited by flowers and landscapes as well as abstract shapes,"Makin, A. D. J., Rampone, G., Karakashevska, E. and Bertamini, M.",10.1167/jov.20.5.11
14,EX1 Disc Reg,98,SPN real things,Makin  ,2020,JoV,The extrastriate symmetry response can be elicited by flowers and landscapes as well as abstract shapes,"Makin, A. D. J., Rampone, G., Karakashevska, E. and Bertamini, M.",10.1167/jov.20.5.11
14,EX2 Disc Col,99,SPN real things,Makin  ,2020,JoV,The extrastriate symmetry response can be elicited by flowers and landscapes as well as abstract shapes,"Makin, A. D. J., Rampone, G., Karakashevska, E. and Bertamini, M.",10.1167/jov.20.5.11
